1000,119236,4395,99.97724687144482,98.08035714285714,1.6153846153846154,0,0,NaN
1000,119189,4654,100,97.99915754001685,1.5585643670750053,0,0,NaN
1000,119217,4914,100,97.96529024536206,1.6010995723885155,0,0,NaN
2000,238490,8868,99.76319350473614,98.02100608070758,2.339160839160839,0,0,NaN
2000,238467,9317,99.62434259954921,98.15478700970056,2.338382210763777,0,0,NaN
2000,238426,9657,99.57543750647199,97.94944675667445,2.396621411545238,0,0,NaN
5000,596277,22102,99.13130033481133,98.01615480205929,3.1678514829069506,0,0,NaN
5000,596242,21239,98.97829464664062,88.37151187005415,3.5293618625695165,0,0,NaN
5000,596237,24536,99.07890446690577,97.8666453597539,3.1607543780871126,0,0,NaN
10000,1192540,41570,97.96487851816214,92.69524788770173,5.30026525198939,0,0,NaN
