10,3577,3000,3.066666666666667,69.6969696969697,0
10,3574,3000,4.1,68.71508379888269,0
10,3569,3000,2.933333333333333,68.75,0.022727272727272728
20,7140,6000,2.9,70.16129032258065,0
20,7145,6000,4.083333333333333,72.48520710059172,0
20,7138,6000,3.8833333333333333,71.47239263803681,0
50,17851,15000,2.8733333333333335,71.2396694214876,0.004640371229698376
50,17842,15000,3.46,70.42062415196743,0.005780346820809248
50,17871,15000,3.6666666666666665,71.61458333333334,0
100,35697,30000,3.1066666666666665,71.4176245210728,0
100,35656,30000,4.013333333333334,71.20047309284448,0
100,35707,30000,3.6333333333333333,71.80500658761528,0.0009174311926605505
200,71383,60000,3.1666666666666665,71.42857142857143,0
200,71371,60000,3.5616666666666665,71.71140939597316,0
200,71381,60000,3.4183333333333334,71.54301637060257,0.2994157740993184
500,178454,150000,3.1693333333333333,72.40230233262648,0.641213389121339
500,178469,150000,3.5713333333333335,71.84817596566523,0.003360089602389397
500,178454,150000,3.5286666666666666,71.27659574468085,0
1,17851,267,5.2434456928838955,2.3140495867768593,29.714285714285715,5607.571508598958
2,17851,2163,18.07674526121128,70.9090909090909,15.941724941724942,497.9280152372416
3,17851,705,67.23404255319149,80.16528925619835,2.9917525773195877,50.26906055683155
4,17851,597,96.14740368509213,95.0413223140496,2.111304347826087,5.0262170186544175
5,17851,594,99.66329966329967,97.85123966942149,2.001689189189189,0.4832782477172147
6,17851,594,100,98.18181818181819,1.9865319865319866,0
1,17842,361,3.3240997229916895,2.03527815468114,30.133333333333333,5662.462167918395
2,17842,2346,19.18158567774936,68.9280868385346,17.200787401574804,500.807700930389
3,17842,830,66.86746987951807,78.29036635006784,3.0571923743500866,49.96205582333819
4,17842,728,95.05494505494505,94.30122116689282,2.135251798561151,4.999551619773568
5,17842,721,99.44521497919555,97.42198100407056,1.9693593314763231,0.48228898105593543
6,17842,720,100,97.69335142469471,1.9625,0
1,17871,398,4.773869346733668,2.604166666666667,32.15,5683.0390017346535
2,17871,2693,17.304121797252137,65.234375,17.043912175648703,497.3380336858598
3,17871,886,68.84875846501129,81.25,2.6971153846153846,49.84214649432041
4,17871,760,94.60526315789474,93.88020833333334,1.9251040221914009,5.014828493089363
5,17871,753,99.734395750332,97.78645833333334,1.7616511318242343,0.4836886576017011
6,17871,753,100,98.046875,1.7622841965471447,0
